Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty,Year_Range
2815,178127,10683/14558,Contrabass saxhorn,Saxhorns,Wind,1846,1846,0,France,Paris,0,0
2816,178128,10683/14558,Contralto saxhorn,Saxhorns,Wind,1853,1863,1,England,London,0,10
2817,178129,10683/14558,Natural trumpet,Trumpets,Wind,1915,1925,1,Unknown,Unknown,0,10
2818,178130,10683/14558,Cornet,Cornets,Wind,1916,1926,1,England,London,0,10
2819,178131,10683/14558,Cornet,Cornets,Wind,1925,1926,1,England,London,0,1
2820,178132,10683/14558,Bombardon,Tubas,Wind,0,0,2,England,London,0,0
2821,178133,10683/14558,Oboe,Oboes,Wind,1835,1845,1,England,London,0,10
2822,178134,10683/14558,Oboe,Oboes,Wind,0,0,2,France,Paris,0,0
2823,178135,10683/14558,Oboe,Oboes,Wind,0,0,2,England,Unknown,0,0
2824,178136,10683/14558,Oboe,Oboes,Wind,1875,1885,1,Unknown,Unknown,2,10
2825,178137,10683/14558,English horn,Oboes,Wind,1905,1915,1,France,Paris,0,10
2826,178141,10683/14558,Transverse flute,Flutes,Wind,1827,1867,1,Netherlands,Rotterdam,0,40
2827,178142,10683/14558,Transverse flute,Flutes,Wind,0,0,2,Austria,Vienna,0,0
2828,178143,10683/14558,Transverse flute,Flutes,Wind,1896,1928,1,England,London,0,32
2829,178144,10683/14558,Transverse flute,Flutes,Wind,0,0,2,France,Paris,0,0
2830,178145,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2831,178146,10683/14558,Cornet,Cornets,Wind,1845,1855,1,France,Paris,0,10
2832,178147,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
2833,178148,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2834,178149,10683/14558,Helicon,Tubas,Wind,0,0,2,England,London,0,0
2835,178150,10683/14558,Tenor trombone,Trombones,Wind,1955,1955,0,United States of America,Cleveland,0,0
2836,178151,10683/14558,Euphonium,Tubas,Wind,1942,1942,0,Germany,Unknown,0,0
2837,178152,10683/14558,Helicon,Tubas,Wind,1885,1895,1,France,Paris,0,10
2838,178153,10683/14558,Bow,Bows,Bows,0,0,2,Unknown,Unknown,2,0
2839,178154,10683/14558,Bass trombone,Trombones,Wind,1885,1895,1,Austria,Unknown,0,10
2840,178155,10683/14558,Bow,Bows,Bows,0,0,2,Japan,Unknown,0,0
2841,178157,10683/14558,Clarinet,Clarinets,Wind,1810,1820,1,England,London,0,10
2842,178158,10683/14558,Violin,Violins,Strings,1920,1929,1,England,Unknown,0,9
2843,178159,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
2844,178160,10683/14558,Oboe,Oboes,Wind,1815,1825,1,England,London,0,10
2845,178161,10683/14558,Oboe,Oboes,Wind,1815,1815,0,England,London,0,0
2846,178162,10683/14558,Oboe,Oboes,Wind,1695,1705,1,England,London,0,10
2847,178163,10683/14558,Oboe,Oboes,Wind,1755,1765,1,Unknown,Unknown,1,10
2848,178164,10683/14558,Bass flute,Flutes,Wind,1754,1769,1,England,London,0,15
2849,178165,10683/14558,Transverse flute,Flutes,Wind,1801,1835,1,Unknown,Unknown,2,34
2850,178166,10683/14558,Transverse flute,Flutes,Wind,1866,1900,1,Unknown,Unknown,2,34
2851,178172,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2852,178173,10683/14558,Flugelhorn,Flugelhorns,Wind,1870,1880,1,United States of America,Philadelphia,0,10
2853,178174,10683/14558,Cornet,Cornets,Wind,1907,1917,1,Germany,Unknown,0,10
2854,178175,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1907,1917,1,Germany,Unknown,0,10
2855,178176,10683/14558,Valve trumpet,Trumpets,Wind,1965,1975,1,Germany,Unknown,0,10
2856,178177,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1965,1975,1,Germany,Unknown,0,10
2857,178178,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1885,1895,1,England,London,0,10
2858,178179,10683/14558,Flugelhorn,Flugelhorns,Wind,1907,1917,1,England,London,0,10
2859,178180,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,England,London,0,34
2860,178181,10683/14558,Transverse flute,Flutes,Wind,1917,1917,0,England,London,0,0
2861,178182,10683/14558,Transverse flute,Flutes,Wind,1852,1857,1,England,London,0,5
2862,178183,10683/14558,Transverse flute,Flutes,Wind,1819,1819,0,France,Paris,0,0
2863,178184,10683/14558,Transverse flute,Flutes,Wind,0,0,2,Unknown,Unknown,0,0
2864,178185,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
2865,178187,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2866,178189,10683/14558,Bow,Bows,Bows,1845,1855,1,Unknown,Unknown,2,10
2867,178190,10683/14558,Bow,Bows,Bows,1845,1855,1,Unknown,Unknown,2,10
2868,178206,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1908,1917,1,Austria,Vienna,0,9
2869,178211,10683/14558,Baritone saxhorn,Saxhorns,Wind,0,0,2,Austria,Vienna,0,0
2870,178215,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,France,Paris,0,0
2871,178217,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2872,178218,10683/14558,Bass trombone,Trombones,Wind,1920,1930,1,England,London,0,10
2873,178219,10683/14558,Natural trumpet,Trumpets,Wind,0,0,2,Unknown,Unknown,2,0
2874,178220,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
2875,178221,10683/14558,Bugle,Bugles,Wind,1958,1958,0,United States of America,Elkhorn,0,0
2876,178231,10683/14558,Violin,Violins,Strings,1972,1972,0,United States of America,Montclair,0,0
2877,178232,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,England,Unknown,0,34
2878,178233,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1950,1960,1,England,Unknown,0,10
2879,178234,10683/14558,Bugle,Bugles,Wind,1948,1948,0,United States of America,Elkhorn,0,0
2880,178235,10683/14558,Bass clarinet,Clarinets,Wind,1915,1925,1,Unknown,Unknown,0,10
2881,178236,10683/14558,Bass clarinet,Clarinets,Wind,1895,1905,1,England,London,0,10
2882,178237,10683/14558,Bass clarinet,Clarinets,Wind,1901,1901,0,England,London,0,0
2883,178238,10683/14558,Bass clarinet,Clarinets,Wind,1865,1875,1,Scotland,Glasgow,0,10
2884,178239,10683/14558,Basset horn,Clarinets,Wind,1930,1930,0,Germany,Unknown,0,0
2885,178240,10683/14558,Cymbals,Cymbals,Percussion,1945,1955,1,Unknown,Unknown,2,10
2886,178241,10683/14558,Basset horn,Clarinets,Wind,1930,1930,0,Germany,Unknown,0,0
2887,178242,10683/14558,Basset horn,Clarinets,Wind,1907,1917,1,England,London,0,10
2888,178243,10683/14558,Basset horn,Clarinets,Wind,1815,1825,1,England,London,0,10
2889,178244,10683/14558,Basset horn,Clarinets,Wind,1845,1855,1,Netherlands,Amsterdam,0,10
2890,178245,10683/14558,Basset horn,Clarinets,Wind,1825,1835,1,Italy,Unknown,0,10
2891,178249,10683/14558,Bow,Bows,Bows,0,0,2,Unknown,Unknown,2,0
2892,178251,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
2893,178252,10683/14558,Contrabass new violin,New violin family,Strings,1963,1964,1,United States of America,Montclair,0,1
2894,178253,10683/14558,Valve trumpet,Trumpets,Wind,1908,1917,1,Austria,Vienna,0,9
2895,178254,10683/14558,Square pianoforte,Pianofortes,Keyboard,1840,1850,1,England,London,0,10
2896,178255,10683/14558,Double bass,Double basses,Strings,1974,1974,0,United States of America,Montclair,0,0
2897,178256,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
2898,178258,10683/14558,Violoncello,Violoncellos,Strings,1973,1973,0,United States of America,Montclair,0,0
2899,178259,10683/14558,Post horn,Horns,Wind,1895,1905,1,Austria,Vienna,0,10
2900,178260,10683/14558,Reed organ,Harmoniums,Keyboard,1840,1850,1,Unknown,Unknown,2,10
2901,178261,10683/14558,Tenor new violin,Violoncellos,Strings,1971,1971,0,United States of America,Montclair,0,0
2902,178262,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
2903,178263,10683/14558,Upright pianoforte,Pianofortes,Keyboard,1840,1850,1,England,London,0,10
2904,178271,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,2000,2000,0,England,London,0,0
2905,178273,10683/14558,Serpent,Serpents,Wind,1833,1867,1,England,Unknown,0,34
2906,178274,10683/14558,Naturhorn,Horns,Wind,1856,1856,0,England,London,0,0
