Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty
4745,181505,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4746,181506,10683/14558,Dessus de musette,Oboes,Wind,1870,0,1,Unknown,Unknown,1
4747,181507,10683/14558,Cornet,Cornets,Wind,1898,0,1,England,London,0
4748,181508,10683/14558,Cornet,Cornets,Wind,0,0,2,Scotland,Glasgow,0
4749,181509,10683/14558,Tenor saxophone,Saxophones,Wind,1920,2000,1,England,London,0
4750,181510,10683/14558,Alto saxophone,Saxophones,Wind,1930,0,1,England,London,0
4751,181511,10683/14558,Tenor trombone,Trombones,Wind,1872,0,1,France,Paris,0
4752,181512,10683/14558,Baritone saxhorn,Saxhorns,Wind,1875,0,1,France,Paris,0
4753,181513,10683/14558,Ballad horn,Saxhorns,Wind,1875,0,1,England,London,0
4754,181514,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1
4755,181515,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4756,181518,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1820,0,1,Unknown,Unknown,1
4757,181519,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1964,0,1,England,Farnham,0
4758,181520,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1810,0,1,Unknown,Unknown,1
4759,181521,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4760,181522,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4761,181523,10683/14558,Clarinet,Clarinets,Wind,1895,0,1,Belgium,Brussels,0
4762,181525,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0
4763,181526,10683/14558,Tenor cor,Saxhorns,Wind,0,0,2,England,Unknown,0
4764,181527,10683/14558,Transverse flute,Flutes,Wind,1875,0,1,Scotland,Glasgow,0
4765,181528,10683/14558,Transverse flute,Flutes,Wind,1866,0,1,Unknown,Unknown,2
4766,181529,10683/14558,Jew's harp,Jews's harps,Percussion,0,2000,1,England,Unknown,0
4767,181530,10683/14558,Jew's harp,Jews's harps,Percussion,0,0,2,England,Unknown,0
4768,181531,10683/14558,Cornet,Cornets,Wind,1905,0,1,England,London,0
4769,181532,10683/14558,Bagpipe,Bagpipes,Wind,1701,1985,1,France,Unknown,0
4770,181533,10683/14558,Lamellaphone,Lamellaphones/Sanzas,Percussion,1950,2000,1,Unknown,Unknown,0
4771,181535,10683/14558,Bass drum,Drums,Percussion,1934,0,1,England,London,0
4772,181536,10683/14558,Tambourine,Drums,Percussion,1895,0,1,Unknown,Unknown,2
